Standname,Standstatus,Kunde,Pavillon,Rechnungsnummer,Rechnungsbetrag,Standbreite,"Notizen vom Kunden",Bezahlstatus
"Brünebrede 1, B3",Verkauft,"Tim Schlautmann (Privat)",Nein,1679,"20 €",3m,"Hallo &lt;3","bezahlung ausstehend"
"Brünebrede 1, B1",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 1, B5",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 1, B7",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 1, B9",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 1, B11",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 1, B13",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 1, B15",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 3, B17",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 3, B19",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 5, B21",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 5, B23",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 5, B25",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 5, B27",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 7, B29",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 9, B31",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 9a, B33",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 11, B35",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 11, B37",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 15, B39",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 15, B41",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 15, B43",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 17, B45",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 17, B47",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 19, B49",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 19, B51",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 21, B53",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 21, B55",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 21, B57",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 23/23a, B59",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 23/23a, B61",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 23/23a, B63",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 23/23a, B65",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 23/23a, B67",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 25, B69",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 27, B71",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 27, B73",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 29, B75",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 29, B77",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 29, B79",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 31, B81",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 31, B83",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 33, B85",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 33, B87",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 33, B89",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 37, B91",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 37, B93",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 37, B95",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 37, B97",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 37, B99",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 37, B101",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 39, B103",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 39, B105",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 41, B107",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 43, B109",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 43, B111",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 45, B113",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 45, B115",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 45, B117",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 47, B119",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 47, B121",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 49, B123",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 49, B125",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 49, B127",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 51, B129",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 51, B131",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 55, B133",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 57, B135",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 59, B137",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 2, B2",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 2, B4",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 2, B6",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 2, B8",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 2, B10",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 2, B12",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 4, B14",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 4, B16",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 4, B18",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 4, B20",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 4, B22",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 10, B24",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 10, B26",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 14, B28",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 14, B30",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 16, B32",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 16, B34",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 20, B36",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 20, B38",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 22, B40",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 24, B42",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 24, B44",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 24, B46",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 24, B48",Frei,"Kein Kunde",-,-,-,-,-,-
"Brünebrede 24, B50",Frei,"Kein Kunde",-,-,-,-,-,-
